genomeQ	genomeR	total_CDS_bases_a	unmapped_CDS_bases_b	fract_CDS_unmapped_X	total_NC_bases_c	unmapped_NC_bases_d	frac_NC_unmapped_Y	genomeQ_size	unmapped_bases
GCF_055386345	GCF_055392995	7627471	14439	0.00189302587974441	1444976	1203	0.000832539779207406	9072447	15642
GCF_055392995	GCF_055386345	7576993	42024	0.00554626353752735	1459708	5960	0.00408300838249842	9036701	47984
GCF_055387175	GCF_055398315	7778517	50191	0.00645251530593814	1470816	11186	0.00760530209081218	9249333	61377
GCF_055398315	GCF_055387175	7729853	96555	0.0124911819151024	1461793	14356	0.00982081594316021	9191646	110911
GCF_055391065	GCF_055392185	7661209	0	0	1506717	0	0	9167926	0
GCF_055392185	GCF_055391065	7650866	0	0	1516360	0	0	9167226	0
GCF_055391065	GCF_055394655	7768013	140466	0.0180826164940764	1563617	27133	0.0173527148911786	9331630	167599
GCF_055394655	GCF_055391065	7650866	270829	0.0353984764600504	1516360	51464	0.033939170117914	9167226	322293
GCF_055392185	GCF_055394665	7938725	77673	0.00978406482149212	1571641	20402	0.0129813360684787	9510366	98075
GCF_055394665	GCF_055392185	7661209	378548	0.0494110002742387	1506717	52466	0.034821403090295	9167926	431014
GCF_055392185	GCF_055395495	7596276	197435	0.0259910250759714	1543756	54367	0.035217353001381	9140032	251802
GCF_055395495	GCF_055392185	7661209	172274	0.0224865292149059	1506717	36222	0.0240403473246801	9167926	208496
GCF_004102925	GCF_016127655	3213242	0	0	335840	0	0	3549082	0
GCF_016127655	GCF_004102925	3208524	0	0	343295	0	0	3551819	0
GCF_979258255	GCF_979258305	2707207	0	0	305087	0	0	3012294	0
GCF_979258305	GCF_979258255	2666570	0	0	345709	0	0	3012279	0
GCF_979258255	GCF_979258845	2508684	0	0	503591	0	0	3012275	0
GCF_979258845	GCF_979258255	2666570	0	0	345709	0	0	3012279	0
GCF_040529205	GCF_040529275	3402483	0	0	598880	0	0	4001363	0
GCF_040529275	GCF_040529205	3429844	0	0	571518	0	0	4001362	0
GCF_001506225	GCF_001506725	1485119	5622	0.00378555523160097	186112	1341	0.00720533872077029	1671231	6963
GCF_001506725	GCF_001506225	1439907	39675	0.0275538628536426	193924	742	0.00382624120789588	1633831	40417
GCF_001506225	GCF_001506965	1443860	119	8.24179629603978e-05	191377	67	0.00035009431645391	1635237	186
GCF_001506965	GCF_001506225	1439907	175	0.000121535626953685	193924	167	0.000861162104742064	1633831	342
GCF_001506305	GCF_001506725	1485119	38564	0.0259669427163749	186112	2579	0.0138572472489684	1671231	41143
GCF_001506725	GCF_001506305	1487298	34471	0.0231769289005969	180304	5604	0.0310808412458958	1667602	40075
GCF_001506365	GCF_001506705	1493382	21387	0.0143211850685223	186382	999	0.00535995965275617	1679764	22386
GCF_001506705	GCF_001506365	1453210	34135	0.0234893786858059	215125	5055	0.0234979662986636	1668335	39190
GCF_001506445	GCF_001506965	1443860	177	0.000122588062554541	191377	9	4.70275947475402e-05	1635237	186
GCF_001506965	GCF_001506445	1454643	0	0	178075	0	0	1632718	0
GCF_001506585	GCF_001506745	1448397	37516	0.0259017382665112	187230	6025	0.0321796720611013	1635627	43541
GCF_001506745	GCF_001506585	1492773	2088	0.00139873912510475	183216	105	0.000573094052921142	1675989	2193
GCF_001506705	GCF_001506885	1456678	36382	0.0249760070516614	183968	1542	0.00838189250304401	1640646	37924
GCF_001506885	GCF_001506705	1493382	0	0	186382	0	0	1679764	0
GCF_001506745	GCF_001506965	1443860	186	0.000128821353870874	191377	0	0	1635237	186
GCF_001506965	GCF_001506745	1448397	0	0	187230	0	0	1635627	0
GCF_001506745	GCF_001506985	1455905	0	0	176707	0	0	1632612	0
GCF_001506985	GCF_001506745	1448397	0	0	187230	0	0	1635627	0
GCF_001643955	GCF_902385735	1574217	0	0	179168	0	0	1753385	0
GCF_902385735	GCF_001643955	1573669	0	0	179716	0	0	1753385	0
GCF_056340835	GCF_056340935	3460130	0	0	583143	0	0	4043273	0
GCF_056340935	GCF_056340835	3352126	93048	0.0277579064748759	562529	15024	0.0267079563898039	3914655	108072
GCF_000007205	GCF_001007065	1084099	0	0	144480	0	0	1228579	0
GCF_001007065	GCF_000007205	1084262	740	0.00068249187004617	141673	0	0	1225935	740
GCF_000008725	GCF_047420685	932420	0	0	110267	0	0	1042687	0
GCF_047420685	GCF_000008725	933234	0	0	109285	0	0	1042519	0
GCF_000068525	GCF_000068585	920260	0	0	118582	0	0	1038842	0
GCF_000068585	GCF_000068525	920707	0	0	118156	0	0	1038863	0
GCF_000068585	GCF_000175515	949922	0	0	126702	0	0	1076624	0
GCF_000175515	GCF_000068585	920260	28979	0.0314900136917828	118582	2799	0.0236039196505372	1038842	31778
GCF_000068585	GCF_000441615	918685	0	0	120132	0	0	1038817	0
GCF_000441615	GCF_000068585	920260	0	0	118582	0	0	1038842	0
GCF_000068585	GCF_047414635	915856	751	0.000819997903600566	123564	0	0	1039420	751
GCF_047414635	GCF_000068585	920260	729	0.000792167430943429	118582	31	0.000261422475586514	1038842	760
GCF_000092745	GCF_047417375	929318	760	0.000817804024026221	114487	0	0	1043805	760
GCF_047417375	GCF_000092745	930925	772	0.000829282702688186	112100	0	0	1043025	772
GCF_000173535	GCF_039778305	923898	0	0	124108	0	0	1048006	0
GCF_039778305	GCF_000173535	920098	1510	0.00164112953185422	125966	431	0.00342155819824397	1046064	1941
GCF_000174055	GCF_000590635	926096	293	0.000316381886975	116757	0	0	1042853	293
GCF_000590635	GCF_000174055	926959	296	0.000319323724134509	115798	0	0	1042757	296
GCF_000175515	GCF_018336255	919439	28979	0.0315181322523843	120826	2799	0.023165543839902	1040265	31778
GCF_018336255	GCF_000175515	949922	1127	0.0011864132002417	126702	293	0.00231251282536977	1076624	1420
GCF_000178495	GCF_003290385	2009542	0	0	309115	0	0	2318657	0
GCF_003290385	GCF_000178495	2004481	0	0	314168	0	0	2318649	0
GCF_000220105	GCF_047416045	910592	0	0	128164	0	0	1038756	0
GCF_047416045	GCF_000220105	918034	0	0	120279	0	0	1038313	0
GCF_000304515	GCF_000590635	926096	0	0	116757	0	0	1042853	0
GCF_000590635	GCF_000304515	928230	0	0	114506	0	0	1042736	0
GCF_000709455	GCF_000767405	961791	0	0	111161	0	0	1072952	0
GCF_000767405	GCF_000709455	961716	0	0	111236	0	0	1072952	0
GCF_000767405	GCF_000767445	961791	0	0	111161	0	0	1072952	0
GCF_000767445	GCF_000767405	961791	0	0	111161	0	0	1072952	0
GCF_000767405	GCF_002998035	955161	0	0	117790	0	0	1072951	0
GCF_002998035	GCF_000767405	961791	0	0	111161	0	0	1072952	0
GCF_000767445	GCF_003433255	961683	0	0	111269	0	0	1072952	0
GCF_003433255	GCF_000767445	961791	0	0	111161	0	0	1072952	0
GCF_001007065	GCF_001007085	1086733	0	0	141843	0	0	1228576	0
GCF_001007085	GCF_001007065	1084099	0	0	144480	0	0	1228579	0
GCF_001007065	GCF_001007125	1084830	0	0	145057	0	0	1229887	0
GCF_001007125	GCF_001007065	1084099	0	0	144480	0	0	1228579	0
GCF_001007105	GCF_001007145	1083661	0	0	144465	0	0	1228126	0
GCF_001007145	GCF_001007105	1085906	0	0	142217	0	0	1228123	0
GCF_002088315	GCF_047420685	932420	0	0	110267	0	0	1042687	0
GCF_047420685	GCF_002088315	930710	0	0	111683	0	0	1042393	0
GCF_000739435	GCF_900187155	2189375	0	0	312584	0	0	2501959	0
GCF_900187155	GCF_000739435	2189253	174	7.94791648110109e-05	312345	0	0	2501598	174
GCF_002088335	GCF_047420685	932420	0	0	110267	0	0	1042687	0
GCF_047420685	GCF_002088335	936807	0	0	105562	0	0	1042369	0
GCF_002998035	GCF_002998235	954498	0	0	118449	0	0	1072947	0
GCF_002998235	GCF_002998035	955161	0	0	117790	0	0	1072951	0
GCF_039778325	GCF_039778345	934639	0	0	108062	0	0	1042701	0
GCF_039778345	GCF_039778325	936555	0	0	106145	0	0	1042700	0
GCF_039778335	GCF_039778345	934639	0	0	108062	0	0	1042701	0
GCF_039778345	GCF_039778335	934639	0	0	108062	0	0	1042701	0
GCF_003815735	GCF_900637665	4847469	0	0	755032	0	0	5602501	0
GCF_900637665	GCF_003815735	4841366	0	0	753979	0	0	5595345	0
GCF_016694815	GCF_050595855	4334791	17853	0.00411853766421495	641842	1970	0.00306929119627572	4976633	19823
GCF_050595855	GCF_016694815	4301427	16527	0.0038422132934024	626871	2468	0.00393701415442731	4928298	18995
GCF_050595845	GCF_050595855	4334791	167	3.85255021522376e-05	641842	0	0	4976633	167
GCF_050595855	GCF_050595845	4324169	21494	0.00497066604011083	634193	2005	0.00316149815592414	4958362	23499
GCF_050595855	GCF_050595915	4336509	0	0	641745	0	0	4978254	0
GCF_050595915	GCF_050595855	4334791	0	0	641842	0	0	4976633	0
GCF_050595855	GCF_050595925	4329718	0	0	651165	0	0	4980883	0
GCF_050595925	GCF_050595855	4334791	0	0	641842	0	0	4976633	0
GCF_050595865	GCF_050703515	4309194	0	0	642402	0	0	4951596	0
GCF_050703515	GCF_050595865	4207874	99635	0.0236782280077778	623796	15838	0.0253897107387672	4831670	115473
GCF_000801145	GCF_029773685	2114555	0	0	310381	0	0	2424936	0
GCF_029773685	GCF_000801145	2148375	0	0	283158	0	0	2431533	0
GCF_050595915	GCF_050703515	4309194	20194	0.00468625919371465	642402	2698	0.00419986239146204	4951596	22892
GCF_050703515	GCF_050595915	4336509	0	0	641745	0	0	4978254	0
GCF_050990625	GCF_051144925	4400365	0	0	632454	0	0	5032819	0
GCF_051144925	GCF_050990625	4399785	0	0	639095	0	0	5038880	0
GCF_002208845	GCF_029718585	4270314	135294	0.0316824477075925	571759	23227	0.0406237593111783	4842073	158521
GCF_029718585	GCF_002208845	4251703	149432	0.0351463872241311	583071	18025	0.030913902423547	4834774	167457
GCF_008693945	GCF_052466275	4115282	66593	0.0161818801238894	592515	6111	0.0103136629452419	4707797	72704
GCF_052466275	GCF_008693945	4028362	178394	0.0442845007474502	552656	21476	0.0388596161083929	4581018	199870
GCF_013889015	GCF_013889875	4089605	0	0	562396	0	0	4652001	0
GCF_013889875	GCF_013889015	4090400	0	0	561607	0	0	4652007	0
GCF_014596835	GCF_014596855	4093852	1085	0.00026503156440438	601673	632	0.00105040445557637	4695525	1717
GCF_014596855	GCF_014596835	4093659	0	0	603337	0	0	4696996	0
GCF_052655375	GCF_052656865	4498987	0	0	653335	0	0	5152322	0
GCF_052656865	GCF_052655375	4501537	0	0	650785	0	0	5152322	0
GCF_052952455	GCF_052952515	4617173	0	0	633614	0	0	5250787	0
GCF_052952515	GCF_052952455	4618114	1227	0.000265692878088328	631855	103	0.000163012083468517	5249969	1330
GCF_000355695	GCF_023277825	2775351	0	0	288887	0	0	3064238	0
GCF_023277825	GCF_000355695	2773443	605	0.000218140412476478	290153	0	0	3063596	605
GCF_009739595	GCF_051295235	2771851	0	0	292569	0	0	3064420	0
GCF_051295235	GCF_009739595	2773295	0	0	290998	0	0	3064293	0
GCF_000801145	GCF_900636745	2158073	0	0	293918	0	0	2451991	0
GCF_900636745	GCF_000801145	2148375	0	0	283158	0	0	2431533	0
GCF_023277845	GCF_023539135	2775614	0	0	289602	0	0	3065216	0
GCF_023539135	GCF_023277845	2776211	0	0	289115	0	0	3065326	0
GCF_023277865	GCF_052045535	2782225	0	0	289799	0	0	3072024	0
GCF_052045535	GCF_023277865	2782846	0	0	289168	0	0	3072014	0
GCF_023539135	GCF_052048995	2774144	0	0	291009	0	0	3065153	0
GCF_052048995	GCF_023539135	2775614	0	0	289602	0	0	3065216	0
GCF_023539135	GCF_052049005	2769396	0	0	295857	0	0	3065253	0
GCF_052049005	GCF_023539135	2775614	0	0	289602	0	0	3065216	0
GCF_050308135	GCF_050308325	2768160	0	0	292229	0	0	3060389	0
GCF_050308325	GCF_050308135	2768100	0	0	292293	0	0	3060393	0
GCF_050308175	GCF_050308195	2768120	0	0	292210	0	0	3060330	0
GCF_050308195	GCF_050308175	2757269	0	0	303979	0	0	3061248	0
GCF_050308185	GCF_050308275	2768089	0	0	292287	0	0	3060376	0
GCF_050308275	GCF_050308185	2768853	0	0	291523	0	0	3060376	0
GCF_050308195	GCF_050308335	2768044	0	0	292286	0	0	3060330	0
GCF_050308335	GCF_050308195	2768120	0	0	292210	0	0	3060330	0
GCF_050308205	GCF_050308255	2772963	0	0	287411	0	0	3060374	0
GCF_050308255	GCF_050308205	2768089	0	0	292287	0	0	3060376	0
GCF_050308215	GCF_050308325	2768160	0	0	292229	0	0	3060389	0
GCF_050308325	GCF_050308215	2766308	0	0	294069	0	0	3060377	0
GCF_021952605	GCF_021957185	1993324	0	0	289369	0	0	2282693	0
GCF_021957185	GCF_021952605	2001476	89	4.44671832187845e-05	307595	142	0.000461645995546091	2309071	231
GCF_050308235	GCF_050308245	2767719	0	0	292660	0	0	3060379	0
GCF_050308245	GCF_050308235	2767884	0	0	292484	0	0	3060368	0
GCF_050308235	GCF_050308285	2768013	0	0	292378	0	0	3060391	0
GCF_050308285	GCF_050308235	2767884	0	0	292484	0	0	3060368	0
GCF_050308255	GCF_050308275	2768089	0	0	292287	0	0	3060376	0
GCF_050308275	GCF_050308255	2772963	0	0	287411	0	0	3060374	0
GCF_050308265	GCF_050308275	2768089	0	0	292287	0	0	3060376	0
GCF_050308275	GCF_050308265	2767993	0	0	292381	0	0	3060374	0
GCF_050308275	GCF_055470705	2765825	0	0	294506	0	0	3060331	0
GCF_055470705	GCF_050308275	2768089	0	0	292287	0	0	3060376	0
GCF_050308305	GCF_050308335	2768044	0	0	292286	0	0	3060330	0
GCF_050308335	GCF_050308305	2768044	0	0	292285	0	0	3060329	0
GCF_051046825	GCF_051046845	2717163	0	0	346650	0	0	3063813	0
GCF_051046845	GCF_051046825	2765623	0	0	298201	0	0	3063824	0
GCF_051046825	GCF_052045425	2775274	0	0	288561	0	0	3063835	0
GCF_052045425	GCF_051046825	2765623	0	0	298201	0	0	3063824	0
GCF_051046835	GCF_052045545	2774883	0	0	288265	0	0	3063148	0
GCF_052045545	GCF_051046835	2750298	0	0	312875	0	0	3063173	0
GCF_051295245	GCF_052048215	2778036	0	0	290909	0	0	3068945	0
GCF_052048215	GCF_051295245	2778597	0	0	290329	0	0	3068926	0
GCF_021957185	GCF_054171625	1994318	0	0	288387	0	0	2282705	0
GCF_054171625	GCF_021957185	1993324	0	0	289369	0	0	2282693	0
GCF_001457475	GCF_022870085	6116937	0	0	696248	0	0	6813185	0
GCF_022870085	GCF_001457475	6117325	0	0	695857	0	0	6813182	0
GCF_052047575	GCF_052048225	2773040	17575	0.00633780976834088	287367	1714	0.00596449835924097	3060407	19289
GCF_052048225	GCF_052047575	2780146	4930	0.00177328816544167	293555	1168	0.0039788114663351	3073701	6098
GCF_052047585	GCF_052048225	2773040	0	0	287367	0	0	3060407	0
GCF_052048225	GCF_052047585	2771190	0	0	289223	0	0	3060413	0
GCF_052606105	GCF_052751415	3000778	0	0	313160	0	0	3313938	0
GCF_052751415	GCF_052606105	2999550	0	0	314386	0	0	3313936	0
GCF_055470565	GCF_055470675	2750722	0	0	309581	0	0	3060303	0
GCF_055470675	GCF_055470565	2750585	0	0	309728	0	0	3060313	0
GCF_055470575	GCF_055470675	2750722	0	0	309581	0	0	3060303	0
GCF_055470675	GCF_055470575	2750104	0	0	310187	0	0	3060291	0
GCF_055470705	GCF_055472345	2754668	0	0	305668	0	0	3060336	0
GCF_055472345	GCF_055470705	2765825	0	0	294506	0	0	3060331	0
GCF_055470845	GCF_055471125	2752473	0	0	307811	0	0	3060284	0
GCF_055471125	GCF_055470845	2756577	0	0	303716	0	0	3060293	0
GCF_055471115	GCF_055472345	2754668	0	0	305668	0	0	3060336	0
GCF_055472345	GCF_055471115	2746466	0	0	313839	0	0	3060305	0
GCF_000210455	GCF_002946135	3378767	57903	0.0171373166601899	741298	11506	0.0155214232333016	4120065	69409
GCF_002946135	GCF_000210455	3435287	704	0.000204931931451433	744580	774	0.00103951220822477	4179867	1478
GCF_002812605	GCF_037914985	3348310	13775	0.00411401572733707	725576	5581	0.00769182001609756	4073886	19356
GCF_037914985	GCF_002812605	3378661	0	0	731419	0	0	4110080	0
GCF_029773855	GCF_029773875	1920660	0	0	473795	0	0	2394455	0
GCF_029773875	GCF_029773855	1936996	0	0	457601	0	0	2394597	0
GCF_002945415	GCF_002946135	3378767	0	0	741298	0	0	4120065	0
GCF_002946135	GCF_002945415	3382619	584	0.000172647288979338	736865	1132	0.00153623798117701	4119484	1716
GCF_002945945	GCF_002946135	3378767	0	0	741298	0	0	4120065	0
GCF_002946135	GCF_002945945	3385407	0	0	734313	0	0	4119720	0
GCF_002945945	GCF_048684865	3423466	8780	0.00256465231435043	739911	831	0.00112310804948163	4163377	9611
GCF_048684865	GCF_002945945	3385407	51435	0.0151931510745975	734313	7704	0.0104914389368022	4119720	59139
GCF_002946135	GCF_047551115	3451036	0	0	750641	0	0	4201677	0
GCF_047551115	GCF_002946135	3378767	67464	0.0199670471506322	741298	12487	0.016844777673756	4120065	79951
GCF_002946515	GCF_002946535	3353032	0	0	740115	0	0	4093147	0
GCF_002946535	GCF_002946515	3355411	0	0	737732	0	0	4093143	0
GCF_002946535	GCF_016767015	3221109	132331	0.0410824346521648	734357	29523	0.0402025173042539	3955466	161854
GCF_016767015	GCF_002946535	3353032	0	0	740115	0	0	4093147	0
GCF_003313545	GCF_003313585	3472641	0	0	756988	0	0	4229629	0
GCF_003313585	GCF_003313545	3470462	0	0	759236	0	0	4229698	0
GCF_003457015	GCF_003457035	3483945	0	0	769838	0	0	4253783	0
GCF_003457035	GCF_003457015	3483945	0	0	769840	0	0	4253785	0
GCF_003482035	GCF_049201105	3440523	20239	0.00588253588189935	738545	2532	0.00342836252361061	4179068	22771
GCF_049201105	GCF_003482035	3453187	0	0	752178	0	0	4205365	0
GCF_003482345	GCF_055361285	3357238	179948	0.0536000128677204	737250	33514	0.0454581213970838	4094488	213462
GCF_055361285	GCF_003482345	3489468	55769	0.0159820923991852	751178	12619	0.0167989477860108	4240646	68388
GCF_050319615	GCF_050320035	2036474	818	0.00040167465923945	300255	15	4.99575360943198e-05	2336729	833
GCF_050320035	GCF_050319615	1966456	71175	0.0361945550777643	285903	15220	0.0532348383892439	2252359	86395
GCF_003482365	GCF_049532795	3334351	0	0	737241	0	0	4071592	0
GCF_049532795	GCF_003482365	3336354	0	0	735242	0	0	4071596	0
GCF_003697205	GCF_042449905	3369494	22630	0.00671614194890984	750435	4196	0.00559142364095491	4119929	26826
GCF_042449905	GCF_003697205	3319877	81331	0.024498196770543	729703	18892	0.0258899853776125	4049580	100223
GCF_008245165	GCF_015351935	3442023	0	0	735672	0	0	4177695	0
GCF_015351935	GCF_008245165	3399204	27003	0.00794391863506868	724481	4299	0.00593390302851282	4123685	31302
GCF_016766955	GCF_018603455	3275662	43116	0.0131625302000023	723045	11444	0.0158275072782469	3998707	54560
GCF_018603455	GCF_016766955	3333230	0	0	742130	0	0	4075360	0
GCF_016767015	GCF_016767035	3228270	0	0	723075	0	0	3951345	0
GCF_016767035	GCF_016767015	3221109	7377	0.00229020501945138	734357	1837	0.00250150812207142	3955466	9214
GCF_025758205	GCF_048684865	3423466	50070	0.0146255286309255	739911	7433	0.0100458028060132	4163377	57503
GCF_048684865	GCF_025758205	3491276	2119	0.000606941416261562	741789	288	0.000388250567209813	4233065	2407
GCF_025758225	GCF_025758245	3455951	0	0	748306	0	0	4204257	0
GCF_025758245	GCF_025758225	3458905	0	0	745287	0	0	4204192	0
GCF_037915025	GCF_037924525	3265297	46378	0.0142033021804755	685749	9104	0.0132759945694416	3951046	55482
GCF_037924525	GCF_037915025	3316917	175	5.27598369208515e-05	678228	0	0	3995145	175
GCF_037915025	GCF_037930055	3397788	0	0	723487	0	0	4121275	0
GCF_037930055	GCF_037915025	3316917	58317	0.0175816880555046	678228	11662	0.0171948076458064	3995145	69979
GCF_037915725	GCF_037924525	3265297	95991	0.0293973258787792	685749	26314	0.038372640718397	3951046	122305
GCF_037924525	GCF_037915725	3373623	1370	0.000406091611303338	691452	368	0.000532213371282461	4065075	1738
GCF_000401555	GCF_003491225	4440270	39003	0.00878392530183975	718912	7726	0.0107467951571263	5159182	46729
GCF_003491225	GCF_000401555	4330223	93860	0.0216755580486271	694277	16351	0.0235511186457279	5024500	110211
GCF_037919485	GCF_037931695	3385106	0	0	730785	0	0	4115891	0
GCF_037931695	GCF_037919485	3381933	869	0.000256953641600824	714041	637	0.000892105635390685	4095974	1506
GCF_037924525	GCF_037942165	3349644	0	0	718232	0	0	4067876	0
GCF_037942165	GCF_037924525	3265297	39843	0.0122019528392057	685749	57605	0.0840030390128166	3951046	97448
GCF_049244555	GCF_052442345	3387196	64502	0.0190428897530583	735340	18445	0.0250836347811897	4122536	82947
GCF_052442345	GCF_049244555	3469577	28698	0.00827132529412087	738997	4309	0.00583087617405754	4208574	33007
GCF_050917545	GCF_055361285	3357238	38012	0.0113224025225498	737250	8086	0.0109677856900644	4094488	46098
GCF_055361285	GCF_050917545	3397304	0	0	743736	0	0	4141040	0
GCF_000017025	GCF_000017045	3026885	80293	0.0265266106905284	733675	20341	0.0277248100316898	3760560	100634
GCF_000017045	GCF_000017025	3137014	0	0	726436	0	0	3863450	0
GCF_000017045	GCF_003058345	3120463	10661	0.00341648018258829	738048	1058	0.00143351109954908	3858511	11719
GCF_003058345	GCF_000017045	3026885	79790	0.0263604332506851	733675	21002	0.0286257539101101	3760560	100792
GCF_000020285	GCF_000827935	2959159	38258	0.0129286733156279	652738	4639	0.00710698626401405	3611897	42897
GCF_000827935	GCF_000020285	2998041	0	0	661603	0	0	3659644	0
GCF_000143685	GCF_045257535	2773858	318	0.000114641773299138	1851701	1506	0.000813306251927282	4625559	1824
GCF_045257535	GCF_000143685	3887173	0	0	742892	0	0	4630065	0
GCF_000767745	GCF_018140595	4786434	430	8.98372358210726e-05	1221909	0	0	6008343	430
GCF_018140595	GCF_000767745	4778084	430	8.99942319975957e-05	1220966	1546	0.00126621052510881	5999050	1976
GCF_001879605	GCF_024584665	3281946	1537	0.000468319710318208	804741	664	0.000825110190732173	4086687	2201
GCF_024584665	GCF_001879605	3289136	0	0	799891	0	0	4089027	0
GCF_001683535	GCF_003491225	4440270	87775	0.0197679420395607	718912	12450	0.0173178358408261	5159182	100225
GCF_003491225	GCF_001683535	4263225	213887	0.0501702349746964	688540	26141	0.0379658407645162	4951765	240028
GCF_002003285	GCF_002003325	3989135	0	0	1119169	0	0	5108304	0
GCF_002003325	GCF_002003285	3986008	0	0	1122279	164	0.000146131220489736	5108287	164
GCF_053571985	GCF_053571995	2308443	0	0	512083	0	0	2820526	0
GCF_053571995	GCF_053571985	2318269	0	0	504864	0	0	2823133	0
GCF_000011325	GCF_055695525	2848134	3046	0.0010694721526445	487123	461	0.000946372887340569	3335257	3507
GCF_055695525	GCF_000011325	2831194	2284	0.000806726773227126	478207	645	0.00134878828624424	3309401	2929
GCF_000255175	GCF_020736125	2035017	107580	0.0528644232456043	334415	17688	0.0528923642779182	2369432	125268
GCF_020736125	GCF_000255175	2154923	0	0	344266	0	0	2499189	0
GCF_000258385	GCF_045588645	1982358	0	0	356457	0	0	2338815	0
GCF_045588645	GCF_000258385	2018212	233	0.000115448723919985	319416	163	0.00051030630901395	2337628	396
GCF_000730445	GCF_001682255	1988641	0	0	348937	0	0	2337578	0
GCF_001682255	GCF_000730445	1983850	250	0.000126017592055851	354450	0	0	2338300	250
